"N","Bubble","Selection","Insertion","Merge","Quick"
"91100","12.313329","2.546238","1.705086","0.007573","0.006461"
"91600","12.456377","2.642270","1.760835","0.007827","0.006567"
"92100","12.498741","2.595634","1.735165","0.007634","0.007136"
"92600","12.899070","2.689605","1.826145","0.007777","0.006582"
"93100","12.975478","2.675329","1.791630","0.007887","0.006900"
"93600","13.078170","2.697578","1.782900","0.007904","0.006755"
"94100","13.024265","2.761365","1.860474","0.008280","0.006676"
"94600","13.819194","2.821307","1.845464","0.007668","0.006881"
"95100","13.854255","2.846771","1.934659","0.008449","0.006865"
"95600","13.885957","2.801105","1.877748","0.008016","0.006964"
"96100","13.852001","2.912636","1.914532","0.008166","0.007104"
"96600","13.964727","2.882853","1.915284","0.008011","0.006846"
"97100","14.160298","2.947326","1.969729","0.008391","0.006988"
"97600","14.146057","2.940362","1.970829","0.009131","0.007178"
"98100","14.331087","2.932976","1.944482","0.008250","0.006974"
"98600","14.343674","2.948584","1.978974","0.008386","0.007370"
"99100","14.438810","2.977922","1.989524","0.008474","0.007019"
"99600","14.623122","3.068675","2.029382","0.008457","0.007265"
